raceId,driverId,total_laps,avg_lap_time,total_race_time,lap_time_std,num_pit_stops,total_pit_time,driver_name,positionOrder,grid,points,statusId,circuitId,position_tier
6,7,78,78300.30769230769,6107424,2937.9420764126075,0.0,0.0,Sébastien Bourdais,8,14,1.0,1,6,1
6,8,78,77663.1282051282,6057724,3391.504850679292,0.0,0.0,Kimi Räikkönen,3,2,6.0,1,6,0
6,9,28,80822.46428571429,2263029,8120.422126786007,0.0,0.0,Robert Kubica,17,17,0.0,23,6,2
6,10,77,78779.1948051948,6065998,3815.5327145448737,0.0,0.0,Timo Glock,10,20,0.0,11,6,1
6,12,10,81655.2,816552,4828.811673463544,0.0,0.0,Nelson Piquet Jr.,19,12,0.0,4,6,2
6,13,78,77684.51282051283,6059392,3272.858811274147,0.0,0.0,Felipe Massa,4,5,5.0,1,6,1
6,15,77,79076.22077922078,6088869,3976.896362026473,0.0,0.0,Jarno Trulli,13,18,0.0,11,6,2
6,16,77,79113.37662337662,6091730,4675.684447613733,0.0,0.0,Adrian Sutil,14,15,0.0,11,6,2
6,17,78,77692.46153846153,6060012,3326.3843156473386,0.0,0.0,Mark Webber,5,8,4.0,1,6,1
6,18,78,77490.79487179487,6044282,2903.4923949006793,0.0,0.0,Jenson Button,1,1,10.0,1,6,0
6,20,15,82015.73333333334,1230236,6722.526772689255,0.0,0.0,Sebastian Vettel,18,4,0.0,3,6,2
6,21,78,78324.64102564103,6109322,3042.105226175813,0.0,0.0,Giancarlo Fisichella,9,13,0.0,1,6,1
6,22,78,77589.07692307692,6051948,2995.162973989773,0.0,0.0,Rubens Barrichello,2,3,8.0,1,6,0
6,67,10,81668.3,816683,4979.80488350475,0.0,0.0,Sébastien Buemi,20,11,0.0,4,6,2
7,1,58,90781.06896551725,5265302,3860.7869930477427,0.0,0.0,Lewis Hamilton,13,16,0.0,1,5,2
7,2,58,90503.0172413793,5249175,3901.307111102142,0.0,0.0,Nick Heidfeld,11,11,0.0,1,5,2
7,3,58,89937.70689655172,5216387,4211.477146404624,0.0,0.0,Nico Rosberg,5,9,4.0,1,5,1
7,4,58,90470.13793103448,5247268,4126.3001287559155,0.0,0.0,Fernando Alonso,10,8,0.0,1,5,1
7,5,57,91120.78947368421,5193885,4185.134149312822,0.0,0.0,Heikki Kovalainen,14,14,0.0,11,5,2
7,6,58,90538.3448275862,5251224,6007.64350436168,0.0,0.0,Kazuki Nakajima,12,12,0.0,1,5,2
7,7,57,91376.68421052632,5208471,3718.8117013267542,0.0,0.0,Sébastien Bourdais,18,20,0.0,11,5,2
7,8,58,90260.24137931035,5235094,4375.486091533725,0.0,0.0,Kimi Räikkönen,9,6,0.0,1,5,1
7,9,58,90191.29310344828,5231095,4117.988821029881,0.0,0.0,Robert Kubica,7,10,2.0,1,5,1
7,10,58,90203.56896551725,5231807,3982.5625802599293,0.0,0.0,Timo Glock,8,13,1.0,1,5,1
7,12,57,91234.19298245614,5200349,5781.32709504919,0.0,0.0,Nelson Piquet Jr.,16,17,0.0,11,5,2
7,13,58,90083.5172413793,5224844,4286.201185777524,0.0,0.0,Felipe Massa,6,7,3.0,1,5,1
7,15,58,89873.9827586207,5212691,4141.7347178907685,0.0,0.0,Jarno Trulli,4,5,5.0,1,5,1
7,16,57,91337.08771929824,5206214,4574.296508288387,0.0,0.0,Adrian Sutil,17,15,0.0,11,5,2
7,17,58,89509.68965517242,5191562,4126.107524714443,0.0,0.0,Mark Webber,2,4,8.0,1,5,0
7,18,58,89393.93103448275,5184848,4075.719632344221,0.0,0.0,Jenson Button,1,2,10.0,1,5,0
7,20,58,89522.56896551725,5192309,4583.967641385089,0.0,0.0,Sebastian Vettel,3,1,6.0,1,5,0
7,21,4,97674.0,390696,4230.266500667147,0.0,0.0,Giancarlo Fisichella,20,19,0.0,23,5,2
7,22,47,91201.34042553192,4286463,4988.359612209366,0.0,0.0,Rubens Barrichello,19,3,0.0,6,5,2
7,67,57,91172.0701754386,5196808,4464.436634030453,0.0,0.0,Sébastien Buemi,15,18,0.0,11,5,2
8,1,59,85293.59322033898,5032322,4320.792368738209,0.0,0.0,Lewis Hamilton,16,18,0.0,11,9,2
8,2,59,84837.71186440678,5005425,4492.685902936351,0.0,0.0,Nick Heidfeld,15,15,0.0,11,9,2
8,3,60,83587.38333333333,5015243,4154.4989585180665,0.0,0.0,Nico Rosberg,5,7,4.0,1,9,1
8,4,59,84444.49152542373,4982225,4284.222684788687,0.0,0.0,Fernando Alonso,14,10,0.0,11,9,2
8,5,36,87075.61111111111,3134722,9674.196572850831,0.0,0.0,Heikki Kovalainen,20,13,0.0,4,9,2
8,6,60,84055.85,5043351,4398.464003182036,0.0,0.0,Kazuki Nakajima,11,5,0.0,1,9,2
8,7,37,87337.21621621621,3231477,8688.725904345281,0.0,0.0,Sébastien Bourdais,19,17,0.0,4,9,2
8,8,60,83982.5,5038950,4185.106561630588,0.0,0.0,Kimi Räikkönen,8,9,1.0,1,9,1
8,9,59,84436.61016949153,4981760,4560.933510076971,0.0,0.0,Robert Kubica,13,12,0.0,11,9,2
8,10,60,83985.85,5039151,4627.783698507255,0.0,0.0,Timo Glock,9,8,0.0,1,9,1
8,12,59,84422.52542372882,4980929,4137.777840888685,0.0,0.0,Nelson Piquet Jr.,12,14,0.0,11,9,2
8,13,60,83572.85,5014371,4179.331865445173,0.0,0.0,Felipe Massa,4,11,5.0,1,9,1
8,15,60,83960.58333333333,5037635,4322.6821683453745,0.0,0.0,Jarno Trulli,7,4,2.0,1,9,1
